WT_1_1 WT_2_2 WT_3_3 WT_4_4 WT_5_5 WT_6_6 WT_7_7
XLOC_000130 0.0524386 0.0513827 0.0345256 0.0582162 0.0861224 0 0.0348577
XLOC_000131 0.124309 0.243985 0.112444 0.108963 0.0158199 0 0.082076
XLOC_000132 24.7972 16.8972 6.17402 5.2334 6.31031 4.90421 4.94964
XLOC_000133 8.58424 9.23135 12.4425 14.3887 12.091 10.4046 11.171
XLOC_000134 1.09631 1.08255 0.587436 0.513534 0.588194 0.505237 0.722067
XLOC_000135 1.30909 1.44866 2.99927 4.68298 6.18826 8.67924 16.2737
XLOC_000136 39.071 36.2805 24.1856 16.4375 11.1171 8.31764 6.6808
XLOC_000137 4.22464 3.39877 12.7824 13.6201 11.5276 11.6635 8.82149
XLOC_000138 0 0 0 0 0 0 0
XLOC_000139 0.533723 0.404196 1.31068 2.9463 3.43938 1.74884 0.598779
XLOC_000140 0 0 0 0 0 0 0
XLOC_000141 0.670056 1.13605 2.3309 2.35123 1.26339 0.601735 0.421055
XLOC_000142 1.36874 1.74053 2.70221 2.35074 2.13207 1.79238 1.43825
XLOC_000143 0 0 0 0 0 0 0
XLOC_000144 0.162193 0.572065 1.24058 1.04974 0.419596 1.99471 1.31999
XLOC_000145 131.826 162.441 122.43 134.024 99.6208 89.4494 40.4261
XLOC_000146 2.72493 3.667 7.59324 10.0448 12.0802 12.2707 11.7441
XLOC_000147 57.9257 52.7204 3.50458 0.814175 1.06211 1.19715 0.959394
XLOC_000148 13.4187 12.1981 5.83508 4.22285 4.43921 3.85825 3.62813
XLOC_000149 0.0220887 0 0.0236349 0.0742659 0.0360076 0 0.0760737
XLOC_000150 1.49164 1.05671 0.266839 0.175456 0.14235 0.0746771 0.0305212
XLOC_000151 1.7966 1.47473 2.14725 3.05004 3.48266 2.47872 1.60452
XLOC_000152 1.2559 1.31606 2.71612 2.68359 3.10259 3.15243 3.42888
XLOC_000153 4.11642 4.27113 6.17579 8.37398 12.6252 24.3187 51.5793
XLOC_000154 0 0 1.27822 47.1997 138.347 568.475 737.321
XLOC_000155 0 0 0 0 0 0 0
XLOC_000156 10.2926 432.358 0 0 0 0 9401.8
XLOC_000157 1.07438 4.08729 3337.81 6602.84 7034.94 8739.16 2371.98
XLOC_000158 22.0993 24.4205 8.95122 3.34122 3.27549 5.56483 14.8451
XLOC_000159 2.72312 3.78888 6.78955 9.35246 13.5405 34.9802 27.849
