WT_1_1 WT_2_2 WT_3_3 WT_4_4 WT_5_5 WT_6_6 WT_7_7
XLOC_001022 25.1936 25.35 15.6969 16.5453 16.0682 13.4133 5.86205
XLOC_001023 54.5927 40.6829 14.4394 6.0398 1.22496 0 0
XLOC_005162 3.1138 11.431 71.9821 79.3566 56.4335 15.2366 1.90632
XLOC_005164 7.59685 7.23717 7.3953 7.80301 8.6201 10.8501 8.32296
XLOC_005167 0 0.00788344 2.2823 15.3089 1.69448 0.596509 0.0225303
XLOC_001029 0.398588 0.155529 0.137507 0.0933818 0 0 0
XLOC_005173 19.5714 41.9261 26.5694 3.91164 0.508926 0.0120215 0.0259153
XLOC_001037 1.22839 0.623906 0.30526 0.37641 0.0391381 0.123903 0.116217
XLOC_005176 0.397368 2.99049 7.93993 14.06 24.5846 64.4968 118.965
XLOC_005184 18.3905 30.3825 67.0338 75.2039 70.8431 69.4665 48.7769
XLOC_005195 11.3906 10.5259 4.92513 2.55249 1.05625 0 0
XLOC_005197 3.95017 4.78723 6.7577 7.00432 5.23654 0.981623 1.4999
XLOC_001066 37.9413 52.6182 86.6144 103.697 146.006 428.714 961.337
XLOC_001066 37.9413 52.6182 86.6144 103.697 146.006 428.714 961.337
XLOC_001070 94.1234 98.2922 85.4999 87.3201 85.9048 242.156 311.1
XLOC_001091 0.286543 0.5339 0.192921 0.125523 0.337539 0.492247 0.430553
XLOC_001093 10.6549 11.9796 10.6059 7.13719 6.64305 3.41478 0.404209
XLOC_001096 1.71425 0.848217 0.299278 0.155182 0.0190154 0.0420135 0.0478883
XLOC_005244 7.68526 8.52439 18.891 5.30347 1.91638 0.297455 0.036139
XLOC_001110 0 0.0207937 0.0144979 0.0424446 0.375489 0.269455 0.0294148
XLOC_001113 17.7582 38.6428 83.0368 86.6595 77.0518 76.4095 37.7866
XLOC_001117 57.7526 70.6873 79.7089 59.8547 31.2391 5.3111 0.992163
XLOC_005268 7.02281 9.50782 17.8687 18.3651 21.4749 17.5882 9.91974
XLOC_001121 2.94996 3.20601 2.83703 2.19148 2.64836 5.29845 8.62322
XLOC_001125 38.576 29.6483 12.7999 11.5542 12.3755 17.1488 17.8456
XLOC_001131 15.0255 15.8218 20.5361 18.3584 13.1611 2.13076 0.379265
