XLOC_014807 XLOC_013064 XLOC_012837 XLOC_003529 XLOC_000687 XLOC_018330 XLOC_029592 XLOC_013703 XLOC_026267 XLOC_015660 XLOC_009140 XLOC_009222 XLOC_003894 XLOC_018120 XLOC_016645 XLOC_009562 XLOC_000385 XLOC_018861 XLOC_018860 XLOC_009706 XLOC_024561 XLOC_014430 XLOC_015644 XLOC_031799 XLOC_029847 XLOC_031798 XLOC_030327 XLOC_025571 XLOC_005286 XLOC_005591 XLOC_005076 XLOC_011901 XLOC_021567 XLOC_031116 XLOC_000154 XLOC_028514 XLOC_012505 XLOC_021419
XLOC_004143 0.00415932017165927 0 0 0.0634360143875716 0 1.28768496734909 0 0 0 0 0 0.258197466693638 2.67303499098678 0.104569113132559 0 0.893420359124543 0 0 1.15165264460612 0 0.154868942365858 2.27554329765282 0 0.285549967402948 0 0 0 0 0 0.0464232705951771 0.526176025917549 1.42582152224787 0.984471910211923 0.74076134074414 0 0 1.02092022147408 1.00067850422
XLOC_004150 0.260596492913066 0.602844298072787 2.37133875534806 2.79076713448496 1.72761818176767 0 2.96338241771741 0.679191082620096 0.360720529555644 0 0 0 0 0 0 0 2.91149090007859 0 0.150031403980033 0.411163105620494 0 0 0 0 1.59709237415098 0 2.06505785117942 1.23226396248032 0 0 0 0 0 0 3.08642935458249 0 0 0
XLOC_000010 0.0577994511529247 0.066014899383588 0 2.3707100979527 0.0806463055888797 0 0 0.439711621893763 0.188077005210133 0 0 0 1.62395642405488 0 0 1.93352145005689 0 0.589934570219622 2.77998918237611 0 0 0.904365504950874 0 0 1.86440084043738 0 0.0675361629928166 0 0 0 0 0 1.41929680193769 0 0.857965140549387 0 0 0
XLOC_000012 0 0 4.58849971673688 2.19476074602757 2.06142858272374 0 2.71159132545724 2.69297575919112 2.63205558700358 0 0.19480049432651 0 0 1.12585882490564 0 0.354391218588584 2.37929575741445 0 0 0 0 0 0 0 0.709035423286882 0 3.69843023944494 1.64100479428626 0 0 0 0 0 0 2.68201530654204 0 0 0
XLOC_004152 4.84753980879465 0.150848714893063 0.295228719514092 0.203660744141237 0 1.39482621371022 0.0567254287963231 0.48249441394091 0.1811420388521 0 1.41525144375996 0.130993176494309 0 0.058991594303697 0 0 0.547881241202219 0 0.985197778797495 0 1.324946255464 0 0.540029833328405 0 0.52029570923453 0 0.0539070808622947 2.81107374413429 0 0 0.337990444844841 1.33280335772112 0 0 0.330751801235406 0 0 0
XLOC_000013 2.78101848106481 0.393480846958575 0 0 0 0 0 0 0 0 2.31365256188775 0 0 0 0 0 0 0.851809455856716 0 0 0 0 0 0 0.335539735982701 0 0 0.567666940695138 0 0 0 1.55002311909983 0 0 0 0 0.187102123261408 0
XLOC_000014 0 0.292429135445159 0.374758898645912 1.12898934785117 0 1.12751468323273 0.301999195790209 0.241788058482129 0.501265708425867 0.519901698168935 1.89157678255991 0.238954304882817 0.67387676410795 0 0.354614894128058 0.856116546882805 0.0399479483874992 0 0.629289058772186 0 0.521659234387804 0 0 0 0.270311931559272 1.00004673438934 0.590563539322026 0 0.381554440043712 0 0.806434634385954 0 0 0 1.28784377631709 0.572319088057693 0 0
XLOC_000017 1.56958494326527 0.480887585519891 2.1357903791624 0.639758924530197 0.29241197355485 0 1.21575770416272 0 0 0 0.0174531937157948 0 0 0 0 0.123803072407936 0.972180040911512 0 0 0 0 0 0 0 2.43177955088945 0 1.47216797331279 2.0721047233972 0 0 0.172222489793053 0 0 0 1.27474644994204 0 0 0
XLOC_004164 1.62085731667435 2.14711323203283 0 0 0 0.0315050759045656 0 0 0 0 1.57423101874276 0 0.214483509875613 1.95966998443557 0 0 0 0.321307712173683 0 0 0.575327939388569 0.10189664903389 0 0.700077288898543 0.336955107703391 0.311062591739914 0 0.421379799168099 0 0 0 0 0 0 0 0 0 0
XLOC_000032 0.129983060240103 1.04697391594359 0 1.96237578019107 0.96228376700445 0 0.857163428075254 0 0 0 0.39092048912542 0 0 2.51889988485951 0 0 0.106542204717071 1.33585007645716 0 0 0 0 0.752337325341151 0 0.34614664765113 0 0 0 0 0 0.751270885185707 1.45250900675988 1.46017934334194 0 0.282301457992178 0 2.36154164055471 0
XLOC_000036 0 0 3.67917427271193 2.13025607882848 2.06241301041786 0 3.41488885030205 2.83504653329049 2.79953432823007 0 0.524327548692062 0 0 0.205595602500628 0 1.0577258698314 3.45910292251374 0 0 0 0.426762017008193 0 0 0 0.653059806027201 0 3.65527144839458 1.20042600716753 0 0 0 0 0.0175089848630517 0 3.80895618941299 0 0 0
